"Node Name"	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"
"OTU_102"	16	0	0	0.01391304900487	1
"OTU_93"	109	2.44510403940688	207	0.095019164494229	0.964831804281346
"OTU_780"	63	0.156955965792484	13	0.0558053313464469	0.993343573988735
"OTU_938"	112	3.8199852398945	302	0.0969846158340616	0.951415701415701
"OTU_24"	115	12.9776593507125	507	0.0980921630587565	0.922654462242563
"OTU_28"	111	3.68500683912394	289	0.0961676903054944	0.952661752661753
"OTU_66"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_246"	112	3.8199852398945	302	0.0969846158340616	0.951415701415701
"OTU_161"	114	10.8506392832214	431	0.0977756595465041	0.933084924701133
"OTU_21"	111	3.08696571900688	258	0.0964245346339656	0.957739557739558
"OTU_157"	104	14.3801048928103	307	0.0895878859734555	0.942681105302465
"OTU_119"	109	10.1443282713319	300	0.0942612464178753	0.949031600407747
"OTU_48"	113	19.9616916881065	526	0.0960553587704353	0.916877370417193
"OTU_242"	113	5.87884106633667	379	0.0972825716660952	0.940107458912769
"OTU_76"	110	3.37208979304616	265	0.0954698683109272	0.955796497080901
"OTU_33"	112	3.39888384315419	283	0.0971357830976324	0.95447232947233
"OTU_98"	113	11.8672932115635	382	0.0972425217924716	0.939633375474083
"OTU_112"	94	11.7411647249087	214	0.0813752743567183	0.951040951727294
"OTU_17"	111	3.1872531707531	265	0.0963796441377883	0.956592956592957
"OTU_29"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_418"	107	16.4020576073871	375	0.0917650918371635	0.933874096279316
"OTU_110"	110	3.57521632764715	279	0.0953359888976502	0.953461217681401
"OTU_304"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_40"	106	4.27385292363855	272	0.0917796790624383	0.951123090745732
"OTU_57"	104	1.76819463269926	149	0.0909741428799705	0.97218073188947
"OTU_73"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_75"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
