OUT	C.M1	C.M2	C.M3	GC.M1	GC.M2	GC.M3	Taxonomy
OTU_32	33	69	45	235	375	202	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto_1
OTU_33	306	258	248	286	98	181	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6
OTU_34	277	276	335	216	247	271	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_35	139	175	242	111	83	67	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella;s__
OTU_36	4	75	1	140	127	136	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera_elsdenii
OTU_37	75	48	31	531	132	260	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__
OTU_38	302	275	320	160	178	156	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
OTU_39	33	100	39	312	103	370	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae
OTU_40	103	173	125	90	110	111	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__unidentified_Gemmatimonadetes;f__S0134_terrestrial_group;g__;s__
OTU_41	532	486	514	522	148	360	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_42	224	310	266	200	152	185	k__Bacteria;p__Chloroflexi;c__KD4-96;o__;f__;g__;s__
OTU_43	70	23	72	302	121	160	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_1;s__bacterium_mpn-isolate_group_2
OTU_44	118	117	225	124	68	78	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
OTU_45	25	9	11	653	177	210	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_S24-7_group;g__;s__
OTU_46	198	67	90	702	391	270	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005;s__
OTU_47	41	6	19	128	99	51	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-002;s__
OTU_48	26	22	37	241	176	143	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-003;s__
OTU_49	43	25	99	377	133	129	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__
OTU_50	497	412	489	658	185	432	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6
OTU_51	309	282	338	186	168	260	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae
OTU_52	43	8	20	479	83	51	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_53	214	229	323	128	101	123	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__unidentified_Xanthomonadales;g__Acidibacter;s__
OTU_54	214	220	229	141	154	185	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__TRA3-20;f__;g__;s__
OTU_55	441	417	478	319	332	366	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_56	99	104	142	88	134	117	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_57	4	37	34	307	233	207	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae
OTU_58	217	133	178	158	229	260	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU_59	122	157	168	94	105	80	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
OTU_60	20	37	28	97	80	85	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_3;s__
OTU_61	17	26	14	170	302	224	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-002;s__
OTU_62	13	9	27	201	128	105	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
OTU_63	50	43	119	275	279	256	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group;s__
OTU_64	158	184	184	184	247	236	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia
OTU_65	150	177	164	206	54	127	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__unidentified_Acidobacteria;g__Blastocatella;s__
OTU_66	166	164	178	105	127	139	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__
OTU_67	27	17	5	118	231	136	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_68	81	134	117	96	74	91	k__Bacteria;p__JL-ETNP-Z39;c__;o__;f__;g__;s__
OTU_69	236	274	268	193	258	316	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__
OTU_70	11	22	148	156	116	68	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_71	80	116	79	134	18	72	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101_soil_group;f__;g__;s__
OTU_72	23	21	28	395	135	161	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-005;s__
OTU_73	169	32	112	339	219	172	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__
OTU_74	141	194	171	224	108	179	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__RB41;g__;s__
OTU_75	250	305	255	153	103	150	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_76	116	110	128	74	64	75	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__;g__;s__
OTU_77	162	198	339	183	122	124	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Skermanella;s__
OTU_78	101	151	128	61	130	33	k__Archaea;p__Thaumarchaeota
OTU_79	208	215	202	96	137	159	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__
OTU_80	164	151	158	108	130	100	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_10;f__ABS-19;g__;s__
OTU_81	139	146	147	87	128	138	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_82	5	0	13	22	18	23	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_83	12	0	76	225	57	69	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
OTU_84	170	222	179	52	55	62	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group
OTU_85	123	179	129	96	142	112	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30;f__;g__;s__
OTU_86	71	64	34	325	308	235	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_NK4A214_group;s__
OTU_87	34	86	63	35	72	9	k__Archaea;p__Thaumarchaeota;c__.SCG.;o__;f__;g__;s__
OTU_88	8	12	3	193	67	51	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__
OTU_89	38	6	1	94	92	63	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_90	17	25	16	180	116	49	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_S24-7_group;g__;s__
OTU_91	167	201	187	93	129	125	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__unidentified_Nitrosomonadaceae;s__bacterium_Ellin6067
OTU_92	147	165	160	139	160	173	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
OTU_93	67	79	83	70	70	84	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
OTU_94	169	148	158	96	111	134	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__TRA3-20;f__;g__;s__
OTU_95	10	14	164	213	42	103	k__Bacteria;p__Spirochaetes;c__unidentified_Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema_2;s__
OTU_96	48	67	57	55	73	64	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
OTU_97	86	116	100	70	96	104	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_98	64	85	120	42	38	39	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_elkanii
OTU_99	236	24	18	130	180	178	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005;s__
OTU_100	152	85	119	82	163	116	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Chryseolinea;s__
OTU_101	160	93	144	96	68	99	k__Bacteria;p__Verrucomicrobia;c__OPB35_soil_group;o__;f__;g__;s__
OTU_102	17	31	6	111	83	52	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
OTU_103	82	57	78	59	66	64	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__unidentified_Rhizobiales;g__Nordella;s__
OTU_104	306	268	316	315	85	191	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_105	210	255	258	135	173	196	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_106	78	115	119	29	25	19	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Rhizocola;s__
OTU_107	17	24	82	166	102	131	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_108	77	91	90	36	36	60	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
OTU_109	121	122	149	105	75	81	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga;s__
OTU_110	41	39	3	105	100	82	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus_1;s__
OTU_111	118	259	182	99	163	130	k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__;s__
OTU_112	5	68	3	57	64	63	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_113	96	91	114	142	47	118	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_114	63	46	93	95	121	110	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;s__
OTU_115	91	118	88	56	54	70	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__KF-JG30-B3;g__;s__
OTU_116	87	94	92	67	76	77	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_117	14	16	30	93	36	41	k__Bacteria;p__Spirochaetes;c__unidentified_Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema_2
OTU_118	128	2	12	88	67	35	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_2;s__
OTU_119	4	56	28	95	47	72	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum;s__
OTU_120	196	205	185	77	125	135	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
OTU_121	40	81	68	94	48	66	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;s__
OTU_122	2	2	1	34	32	23	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__
OTU_123	98	95	131	69	66	75	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__
OTU_124	24	14	20	127	146	293	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Eubacterium_coprostanoligenes_group
OTU_125	153	161	177	101	140	125	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_126	91	84	67	33	50	72	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_127	73	96	98	61	68	71	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__FFCH13075;g__;s__
OTU_128	10	20	34	94	58	119	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__
OTU_129	17	10	8	89	135	55	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__;s__
OTU_130	79	88	79	111	85	84	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
OTU_131	73	60	56	41	48	65	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_132	145	168	173	97	123	127	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Sh765B-TzT-29;f__;g__;s__
OTU_133	31	11	40	141	130	133	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
OTU_134	3	25	23	39	93	34	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia
OTU_135	12	14	16	90	84	69	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
OTU_136	84	94	97	155	53	117	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__RB41;g__;s__
OTU_137	22	13	37	107	57	52	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_NK3B31_group;s__
OTU_138	73	83	65	56	22	35	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_139	76	91	124	43	47	53	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
OTU_140	65	64	84	48	59	71	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__unidentified_Gemmatimonadetes;s__Gemmatimonadetes_bacterium_LX87
OTU_141	89	109	116	69	118	84	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter
OTU_142	105	170	126	84	39	74	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_143	6	3	16	11	231	10	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Eubacterium_coprostanoligenes_group;s__
OTU_144	59	89	75	42	44	46	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__
OTU_145	166	161	361	84	113	114	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__;s__
OTU_146	2	26	2	99	47	47	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_inulinivorans
OTU_147	47	20	11	88	107	102	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Soleaferrea;s__
OTU_148	100	94	136	57	40	66	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_149	56	69	55	34	38	39	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__unidentified_Gemmatimonadetes;f__S0134_terrestrial_group;g__;s__
OTU_150	1	18	8	57	54	32	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__
OTU_151	79	72	103	62	72	83	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Caenimonas;s__
OTU_152	9	4	2	49	46	52	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mollicutes_RF9;f__;g__;s__
OTU_153	132	271	178	100	161	55	k__Archaea;p__Thaumarchaeota
OTU_154	3	35	20	127	127	36	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5_gut_group;g__;s__
OTU_155	56	65	37	137	88	107	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio
OTU_156	32	49	57	33	24	31	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__CCU22;g__;s__
OTU_157	27	26	40	32	29	42	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
OTU_158	11	8	41	53	54	34	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001;s__
OTU_159	20	35	34	49	52	60	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__KCM-B-15;g__;s__
OTU_160	47	69	80	33	55	72	k__Bacteria;p__Thermomicrobia;c__unidentified_Thermomicrobia;o__JG30-KF-CM45;f__;g__;s__
OTU_161	39	6	40	157	31	27	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
OTU_162	74	72	72	15	25	29	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
OTU_163	11	32	43	167	144	130	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005;s__
OTU_164	23	62	47	17	20	15	k__Bacteria;p__Chloroflexi;c__KD4-96;o__;f__;g__;s__
OTU_165	1	23	26	101	77	96	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
OTU_166	49	73	74	46	48	49	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__unidentified_Gemmatimonadetes;f__S0134_terrestrial_group;g__;s__
OTU_167	57	64	68	47	28	33	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium;s__
OTU_168	125	105	175	87	64	62	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__
OTU_169	463	11	15	43	25	34	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia;s__
OTU_170	82	75	96	54	71	80	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__unidentified_Gemmatimonadetes;s__Gemmatimonadetes_bacterium_LX87
OTU_171	44	51	61	34	28	40	k__Bacteria;p__Gemmatimonadetes;c__unidentified_Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__
OTU_172	104	85	71	43	67	64	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
OTU_173	113	89	110	92	19	55	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_174	10	15	27	39	35	35	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Eubacterium_coprostanoligenes_group;s__
OTU_175	100	46	102	59	82	48	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
OTU_176	1	75	8	139	79	87	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__
OTU_177	43	10	19	53	64	64	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
OTU_178	22	8	16	210	55	85	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU_179	10	27	28	93	96	59	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenellaceae_R-7_group;s__
