KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
OTU_59	7.1278	5.5377	6.703	6.79	5.1015	6.7949	7.0525	6.8245	7.0668	6.3182	6.4536	6.7771	6.2969	6.0031	6.6624	6.7516	7.0972	5.4522	4.8703	6.7342	6.2338	5.8892	6.4357	6.3047	5.7182
OTU_54	6.5708	6.0804	6.5003	6.5604	5.5749	5.7828	5.9004	6.142	6.3476	6.3595	5.7853	6.0418	6.6968	6.1344	5.8341	5.6755	6.6363	5.4522	5.8454	5.7477	5.7933	5.745	5.9026	4.3584	5.269
OTU_72	6.8622	6.2622	6.7647	6.346	6.5597	6.2534	6.4382	6.142	7.1296	5.0128	6.3295	6.9946	7.3697	6.6553	6.8585	7.0883	6.8935	6.2454	6.1043	6.8328	6.0303	6.4507	5.6185	4.9197	6.0602
OTU_323	3.3159	2.0109	2.0125	2.4177	0.0	1.5511	1.3714	2.5228	1.9925	1.7301	3.0392	1.3907	2.4767	3.1932	2.9787	1.6684	2.9882	2.6662	0.0	0.0	0.0	1.5259	2.6662	0.0	2.5097
OTU_102	3.4697	2.0109	3.5388	7.4844	4.3923	2.7637	2.5265	4.5331	4.9903	3.8977	2.2048	4.0365	2.4767	5.3109	3.8842	4.0224	4.1411	4.7938	6.6822	4.1658	2.573	5.0424	2.6662	4.3584	3.915
OTU_128	4.4775	4.0136	4.9703	4.1116	3.8413	3.6534	4.7223	4.7179	4.5139	4.4501	2.2048	3.627	4.7068	4.2728	4.2249	4.8739	4.2502	3.5478	4.1658	4.8703	2.573	3.3783	2.6662	3.9666	0.0
OTU_93	6.8897	6.2041	6.7445	5.3251	6.3399	5.8325	5.1015	5.2247	5.7715	7.0437	4.8113	5.4853	5.7418	6.9208	5.7041	6.7516	6.9102	5.7675	5.6962	5.7477	6.1356	5.5847	4.7938	5.1353	5.0817
OTU_780	6.4467	4.9682	6.2644	7.1732	5.9307	5.6224	6.0804	5.7338	6.7974	4.5246	8.3721	8.8808	4.2679	5.6981	5.7575	7.2206	6.9431	7.7475	5.9806	5.3416	6.5708	7.7751	6.0262	5.8957	6.1583
OTU_938	5.517	4.2617	5.7977	5.4012	4.7901	5.8806	4.6328	5.0971	5.745	4.663	4.9858	5.6341	4.8277	5.0698	5.4357	5.2493	5.8196	4.0911	4.5606	5.6962	4.9403	5.1983	5.0481	4.9197	4.6132
OTU_239	1.0839	0.0	2.4731	2.4177	0.0	0.0	5.4016	1.3686	2.3139	0.0	1.488	1.3907	2.4767	1.6025	3.5627	1.6684	2.3676	2.6662	3.6205	0.0	0.0	3.618	4.0911	0.0	2.5097
OTU_24	7.1393	6.0804	6.8044	7.0126	6.5597	6.4887	6.4901	6.8837	7.4163	7.3197	6.1578	7.0835	7.3087	6.7674	7.2426	7.4714	6.8246	6.4357	6.5141	6.6555	5.9166	6.7057	6.3437	5.3228	6.5683
OTU_28	7.4569	7.2239	6.703	6.9506	6.454	5.9721	6.5645	5.9337	8.1798	5.7629	6.3929	6.6195	6.8474	5.8586	7.1051	7.9238	7.1404	6.6037	5.3416	6.8565	6.0303	7.3289	6.0262	6.1146	6.4951
OTU_171	3.9596	4.6578	4.2637	3.9179	2.9386	3.8593	3.1597	3.7717	3.4503	3.781	3.3256	3.627	4.4295	3.4833	4.4362	3.2802	5.4131	3.5478	0.0	3.8261	4.3786	3.3783	2.6662	4.6662	2.5097
OTU_423	2.7223	3.7138	2.8217	2.6846	0.0	3.6534	3.7759	3.1557	3.4503	1.1102	2.6815	3.529	2.4767	3.1932	2.3025	2.9138	2.3676	2.6662	0.0	2.7333	0.0	0.0	2.6662	0.0	0.0
OTU_66	5.7748	4.4733	5.283	6.0476	5.1015	6.1785	5.0332	5.6453	6.1799	5.4929	4.7154	5.5366	5.4718	4.8833	5.9303	5.7357	5.9867	4.7938	4.1658	5.5298	4.9403	5.1224	5.6185	3.4271	5.4347
OTU_202	3.7353	4.4733	4.145	4.2823	0.0	4.0395	2.8776	3.5941	4.078	4.2884	4.3824	3.7187	3.3409	4.4173	3.9772	4.3651	4.7736	3.5478	2.7333	3.093	2.573	3.618	2.6662	0.0	2.5097
OTU_246	5.5859	4.6578	5.8366	5.2855	4.7901	5.5647	4.7223	5.6453	6.1398	4.5954	4.9012	5.3194	5.4718	3.9314	5.4025	5.3297	5.9222	4.7938	4.5606	5.1251	5.3435	4.4381	5.2643	3.9666	5.0817
OTU_290	3.6086	3.7138	3.337	4.8148	0.0	4.3438	3.3956	3.9298	4.2384	4.4501	4.7154	3.529	3.3409	2.8298	4.8834	3.2802	4.2502	2.6662	2.7333	4.3098	2.573	4.9577	2.6662	0.0	0.0
OTU_130	3.4697	2.8198	3.5388	3.1044	2.9386	3.6534	2.8776	3.5941	2.7987	2.1623	3.5644	4.9918	3.8776	3.1932	3.8842	0.0	4.845	0.0	4.1658	5.2009	3.9865	5.3389	4.4848	0.0	2.5097
OTU_161	5.1125	4.8213	5.8744	5.924	4.7901	5.5047	4.8065	4.8817	5.5447	5.6002	5.2134	4.8367	4.2679	5.1547	5.4681	5.6127	5.8546	5.0481	5.5298	5.3416	4.9403	5.1224	5.4522	5.1353	3.915
OTU_333	1.0839	2.0109	0.0	2.0899	0.0	2.2813	2.8776	2.8736	2.5766	2.1623	1.488	2.7392	1.7151	0.0	0.98789	1.6684	0.0	0.0	0.0	1.5277	0.0	3.3783	2.6662	0.0	2.5097
OTU_21	7.7624	6.8599	7.9824	6.9881	7.1396	6.9152	7.0866	6.7628	6.6625	7.9531	6.9721	6.6431	7.4845	8.6298	7.2796	6.9426	8.5579	7.1837	7.6752	7.1899	6.9046	6.1016	6.4357	6.0093	6.5683
OTU_157	4.2416	2.0109	4.2637	4.2823	3.8413	3.1247	4.3254	3.3914	4.6342	3.1876	3.5644	3.627	3.6341	4.2728	3.678	4.7626	4.2502	4.4848	3.6205	3.3808	3.4464	4.0034	4.4848	3.9666	3.3771
OTU_288	2.9484	2.0109	2.0125	1.0606	0.0	2.2813	2.0616	1.3686	3.3129	3.1876	1.488	2.5524	3.3409	2.3429	2.9787	1.6684	1.9161	0.0	0.0	3.8261	0.0	1.5259	0.0	0.0	0.0
OTU_119	4.4775	3.335	3.7159	4.758	2.9386	3.8593	3.5983	2.8736	3.6912	2.1623	2.6815	3.1875	4.7068	3.4833	4.8834	3.8147	4.9779	4.0911	3.6205	4.1658	3.4464	3.3783	2.6662	2.5553	3.3771
OTU_48	6.2053	4.9682	5.6746	6.6721	5.3576	5.2357	6.2098	5.8959	6.59	5.7934	5.7853	7.7159	6.0706	5.5175	6.4189	6.7805	6.1922	6.2454	6.5141	7.0328	5.6584	4.6688	5.2643	5.6375	5.269
OTU_71	2.9484	2.0109	3.337	4.4349	4.3923	1.5511	3.3956	0.0	6.9558	3.6539	3.3256	3.7187	3.8776	3.7246	4.8345	5.0738	5.4593	3.5478	5.6962	6.422	5.3435	0.0	5.2643	3.4271	4.3059
OTU_242	4.8009	4.6578	3.8735	5.4378	2.9386	4.7058	3.9341	4.0723	4.6342	4.3715	4.6127	4.8771	4.2679	4.669	4.9307	5.3297	4.7736	2.6662	2.7333	4.5606	2.573	4.8677	3.5478	2.5553	2.5097
OTU_76	7.7549	5.5377	7.0052	6.6567	6.2159	5.5047	6.3844	6.324	7.0344	6.4954	6.595	6.2093	6.4555	7.0147	6.9982	5.8491	7.2496	7.1297	6.8328	5.6962	7.3167	6.9446	6.824	6.0093	6.418
OTU_33	7.4569	7.2528	7.5635	8.2216	6.3399	8.2392	6.8291	7.7978	7.6973	8.6796	7.3998	7.8488	7.4282	7.9627	8.0472	7.6066	7.7913	6.6809	6.6822	7.621	7.3167	6.9224	6.5221	6.0093	7.3691
OTU_233	2.9484	2.0109	2.0125	0.0	3.8413	3.4131	2.8776	2.8736	3.161	2.7642	3.5644	2.3378	1.7151	3.4833	0.98789	0.0	2.3676	0.0	0.0	2.2529	2.573	1.5259	0.0	0.0	0.0
OTU_98	5.3289	5.3361	5.3382	5.4012	5.1015	5.1598	4.8861	5.2247	5.7975	5.0128	4.3824	5.7031	5.3956	4.9796	5.4357	5.5469	5.7092	6.0262	5.3416	5.3416	5.156	3.618	4.0911	4.3584	5.269
OTU_350	5.8327	4.8213	4.4754	4.922	0.0	4.8087	4.3254	5.0288	4.078	3.5146	4.7154	4.7951	4.7068	3.1932	5.1463	5.4058	5.5041	2.6662	2.7333	4.0059	4.3786	5.4044	0.0	4.3584	3.3771
OTU_112	3.4697	4.0136	5.2257	5.4378	5.3576	4.3438	4.8065	4.0723	5.0346	4.1062	2.6815	4.5171	4.2679	4.4173	4.2988	4.8739	4.6193	5.2643	6.2181	4.1658	3.9865	4.0034	4.7938	3.9666	3.915
OTU_68	2.9484	0.0	0.0	2.6846	3.8413	4.1996	2.5265	7.3573	4.9445	1.1102	0.0	3.7187	4.4295	6.2547	4.147	3.5721	2.3676	2.6662	4.5606	0.0	4.3786	1.5259	4.7938	4.9197	0.0
OTU_90	4.2416	6.4237	4.744	3.1044	2.9386	5.3078	4.0766	4.202	3.3129	6.042	2.2048	3.627	4.4295	4.7801	4.4362	4.2039	5.4131	4.7938	4.5606	3.8261	2.573	5.4044	0.0	3.9666	4.6132
OTU_17	7.2174	5.1015	7.6748	7.2368	5.5749	6.8442	8.5097	8.2367	6.8604	6.8544	7.1477	6.6547	6.6319	8.2501	7.2047	7.3611	7.0825	6.2454	5.8454	6.7084	6.2338	4.8677	6.3437	4.3584	6.0602
OTU_29	6.9033	7.891	7.4175	7.4844	7.7437	6.8442	7.0352	6.8445	7.5522	7.6544	7.4303	7.8334	7.3293	7.6035	7.5227	7.8844	7.6981	7.5143	8.1471	7.7778	7.9857	7.6183	7.1297	6.6926	7.9374
OTU_418	6.9033	5.4404	6.5003	7.2368	6.9189	5.7313	6.8688	6.7201	7.1193	7.0437	5.0657	6.8499	6.1654	6.4009	7.744	8.106	6.5535	7.1297	6.6822	7.0534	7.1756	6.2867	6.8905	6.8227	6.1583
OTU_148	3.8518	2.8198	3.1022	3.5678	3.8413	2.2813	3.3956	3.7717	4.1604	3.1876	4.1081	3.8049	2.4767	3.1932	3.3001	4.0224	4.023	2.6662	0.0	3.093	2.573	1.5259	2.6662	0.0	2.5097
OTU_293	4.2416	0.0	3.5388	4.4349	2.9386	3.1247	3.3956	4.0723	4.9445	4.2002	2.2048	4.7524	4.4295	4.669	4.5617	3.2802	5.6306	4.4848	4.1658	3.6205	4.9403	3.618	3.5478	3.4271	3.915
OTU_110	4.9124	5.6289	3.8735	4.922	4.3923	3.8593	4.6328	4.7179	4.6908	4.663	4.9858	4.9918	3.8776	3.9314	4.8345	4.6418	4.9779	3.5478	2.7333	4.7743	4.6866	3.8235	2.6662	2.5553	3.915
OTU_304	4.6157	4.2617	4.2637	5.7603	2.9386	3.8593	4.6328	4.5331	4.9903	4.2884	5.1414	5.4047	4.7068	4.7801	5.5308	5.2493	5.0996	3.5478	4.1658	4.8703	4.9403	4.1633	2.6662	3.4271	2.5097
OTU_104	2.454	5.5377	3.5388	1.6652	3.8413	1.5511	2.8776	2.8736	5.4496	4.5954	0.0	4.2359	4.2679	6.0919	2.5647	2.4215	3.4207	0.0	0.0	3.3808	2.573	3.618	2.6662	0.0	0.0
OTU_40	6.0676	5.1015	4.744	6.4572	3.8413	4.3438	4.6328	4.9571	4.1604	6.8688	5.1414	6.9946	6.0207	5.6981	6.3158	6.0522	5.4131	5.2643	5.1251	5.6428	6.5708	3.8235	4.4848	4.9197	4.8664
OTU_141	4.403	3.335	4.3734	3.1044	0.0	4.1996	3.9341	3.5941	4.2384	2.7642	3.5644	2.9046	3.3409	1.6025	3.1483	3.5721	3.2206	0.0	3.6205	2.7333	2.573	3.3783	2.6662	0.0	2.5097
OTU_402	3.6086	3.335	4.2637	4.4349	3.8413	3.4131	3.1597	3.3914	3.798	3.8977	3.0392	3.9633	3.3409	2.3429	3.678	4.5101	3.4207	3.5478	4.5606	3.6205	0.0	3.3783	3.5478	2.5553	3.915
OTU_57	3.6086	6.3181	3.8735	5.1152	2.9386	4.9048	4.8065	4.202	3.798	5.5653	3.9486	4.9546	3.8776	4.7801	4.6205	4.6418	6.4881	4.4848	4.1658	4.8703	3.4464	5.2703	3.5478	3.4271	3.915
OTU_73	7.3814	6.8217	6.7647	7.4931	7.3895	6.4573	6.6582	6.5356	6.7974	6.1636	6.4235	6.6892	6.5286	6.8462	7.4994	7.9367	7.567	6.9541	6.3237	7.2625	7.1253	6.7315	6.6809	6.6229	6.8872
OTU_168	3.4697	3.335	3.1022	3.2759	2.9386	3.6534	3.1597	3.3914	2.7987	3.5146	3.0392	3.8049	3.6341	2.8298	3.678	3.2802	1.2552	2.6662	0.0	3.3808	2.573	3.3783	0.0	2.5553	2.5097
OTU_42	5.804	4.2617	5.8744	5.817	0.0	4.8087	4.8065	4.9571	5.4496	3.1876	3.9486	5.7031	5.3956	4.2728	5.4998	5.8491	5.7092	4.4848	2.7333	5.2729	3.4464	5.2703	3.5478	2.5553	3.915
OTU_75	6.7162	4.9682	6.6164	6.641	5.3576	6.4887	5.8615	6.4598	6.7315	5.1604	5.6362	6.4953	6.3784	5.5802	6.6902	6.8088	6.4428	5.0481	5.8454	6.39	6.1356	5.8892	5.4522	4.3584	5.4347
OTU_91	6.2485	4.9682	6.4511	5.2447	2.9386	5.9271	5.2291	4.8817	5.5137	4.663	4.5021	5.1649	5.1394	5.6404	4.147	5.6755	4.9779	4.7938	3.6205	5.2729	3.9865	5.8428	2.6662	0.0	4.3059
OTU_485	5.6835	4.4733	5.8366	5.6398	4.3923	5.3764	4.7223	5.2845	5.634	5.5295	5.0657	5.0636	5.3152	5.3831	5.62	5.5469	5.8888	4.4848	4.8703	5.4071	5.156	4.9577	4.0911	4.3584	4.6132
OTU_729	4.9124	6.7826	5.3913	5.2447	3.8413	5.2357	4.6328	5.3419	5.2381	6.3797	5.2819	5.7473	4.8277	5.5802	5.0639	4.0224	6.0485	4.0911	3.6205	5.2729	3.4464	6.1016	0.0	3.9666	4.8664
OTU_123	5.6835	4.6578	5.2257	5.2028	5.3576	6.2164	5.6947	6.2053	5.9901	5.0128	3.5644	5.3194	5.6131	4.669	6.0204	5.9026	5.9548	5.4522	5.3416	7.3813	5.9166	5.3389	4.0911	6.0093	5.4347
OTU_47	6.3108	4.0136	7.3653	4.2823	5.5749	4.3438	5.0332	4.7179	4.9903	6.3997	4.2518	4.3551	3.3409	6.2547	5.0639	4.8739	7.0677	4.0911	5.1251	4.0059	3.9865	4.0034	4.4848	4.6662	4.8664
OTU_60	7.3717	6.6582	6.9532	6.8181	7.1396	6.5494	7.0525	7.164	7.6553	6.8971	6.3295	7.1673	6.6968	6.8462	6.9184	6.9679	8.0846	6.2454	7.0328	7.2267	6.4936	6.8061	6.9541	6.8227	6.3365
OTU_46	6.0186	6.7009	5.9112	5.6398	4.3923	5.6224	6.2404	6.1093	5.0777	5.7629	6.6736	5.6341	6.2106	6.0482	5.809	5.9026	6.0485	5.2643	3.6205	5.7477	4.6866	6.5696	3.5478	3.9666	4.6132
OTU_74	5.1125	4.6578	5.4426	5.3637	5.1015	5.0797	6.1465	5.3419	6.0125	4.1062	4.5021	5.6574	5.1394	5.5175	5.2982	5.6755	6.1077	5.4522	4.8703	5.0451	4.6866	4.9577	4.0911	5.3228	5.7182
OTU_197	4.9651	0.0	6.4002	5.5083	0.0	2.7637	5.3463	3.1557	2.5766	1.1102	1.488	5.4047	7.0598	3.1932	5.9761	1.6684	2.711	4.4848	2.7333	2.2529	3.4464	5.6935	4.4848	2.5553	3.915
OTU_34	6.6852	4.0136	5.7578	6.8041	5.3576	3.8593	7.2155	3.3914	5.7715	5.9638	6.3929	6.6313	4.4295	5.8071	6.6764	6.1878	7.2496	5.6185	5.9806	5.9806	6.644	2.731	5.0481	5.8957	5.5834
