#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_59	16	4	12	11	5	11	17	13	12	6	10	8	11	9	6	9	9	11	6	4	11	9	6	14	16	7	3
OTU_54	11	5	10	10	7	5	8	8	7	6	6	5	7	13	7	5	4	8	6	8	6	6	6	10	4	5	3
OTU_72	13	6	12	8	13	8	11	8	13	2	9	13	13	20	10	11	12	9	10	10	12	8	9	8	6	9	6
OTU_323	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0
OTU_99	7	7	13	4	9	4	1	5	6	6	3	9	6	4	11	3	2	8	6	4	4	10	7	4	6	8	18
OTU_102	1	0	1	19	3	1	1	3	3	1	0	1	2	1	4	1	1	1	3	14	2	1	3	1	4	2	1
OTU_128	2	1	3	2	2	1	3	3	2	2	0	1	1	3	2	2	2	1	1	2	3	1	1	1	3	0	1
OTU_93	13	6	12	4	11	6	4	4	5	9	3	14	5	6	12	5	9	9	7	7	6	8	5	4	7	5	9
OTU_780	10	2	9	15	9	5	9	6	10	2	38	11	48	2	5	5	13	10	28	9	4	11	23	11	12	10	15
OTU_938	5	1	6	4	4	6	3	4	5	2	4	5	5	3	3	4	3	4	2	3	5	3	4	5	6	3	1
OTU_239	0	0	1	0	0	0	5	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	1	3	0	1	0
OTU_24	16	5	12	13	13	9	11	13	16	11	8	9	14	19	11	14	15	9	11	13	11	7	11	13	8	13	10
OTU_28	20	12	12	13	12	6	12	7	26	4	10	10	10	14	6	13	21	11	13	6	12	8	17	11	14	12	8
OTU_11	26	64	36	26	32	17	8	22	21	41	16	23	22	22	29	27	10	48	22	14	16	30	36	49	25	42	45
OTU_171	2	2	2	1	1	1	1	1	1	1	1	1	1	3	1	2	1	3	1	0	1	2	1	1	5	1	5
OTU_423	1	1	1	1	0	1	2	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0
OTU_66	6	2	4	7	5	7	4	6	7	3	3	5	5	5	3	6	5	5	3	2	5	3	4	8	2	6	3
OTU_202	1	2	2	2	0	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	0	1	1
OTU_246	5	2	6	4	4	5	3	6	6	2	3	0	4	5	1	4	3	5	3	3	4	5	2	6	3	5	6
OTU_290	1	1	1	3	0	2	1	2	2	2	3	0	1	1	1	3	1	1	1	1	2	1	3	1	0	0	0
OTU_130	1	0	1	1	1	1	1	1	1	0	1	1	3	2	1	1	0	2	0	2	4	2	4	4	0	1	4
OTU_161	4	2	6	6	4	4	3	3	4	3	4	9	3	2	3	4	4	5	4	6	4	3	4	7	7	2	3
OTU_265	2	0	1	2	0	1	1	1	1	0	1	0	1	1	0	0	0	0	2	2	1	0	2	1	0	0	0
OTU_333	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0
OTU_712	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_21	24	9	28	13	20	12	17	12	9	18	14	17	10	22	39	15	11	30	19	29	16	14	7	14	13	13	14
OTU_157	2	0	2	2	2	1	2	1	2	1	1	0	1	1	2	1	2	1	3	2	1	1	2	4	3	1	3
OTU_230	4	2	3	3	2	2	5	2	9	3	4	4	5	1	3	4	2	2	3	2	2	1	0	5	4	2	8
OTU_288	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_119	2	1	1	3	1	1	1	1	1	0	1	0	1	3	1	3	1	2	2	2	2	1	1	1	1	1	3
OTU_848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48	8	2	6	11	6	4	9	7	9	4	6	6	22	8	4	8	10	6	10	13	14	6	3	6	10	5	8
OTU_71	1	0	1	2	3	0	1	0	11	1	1	0	1	2	1	3	3	3	1	7	9	5	0	6	2	3	3
OTU_242	3	2	2	4	1	3	2	2	2	1	3	4	3	2	2	3	3	2	1	1	2	1	3	2	1	1	0
OTU_76	24	4	14	10	10	4	11	9	12	6	11	10	8	11	13	12	5	12	18	16	5	19	13	19	13	12	18
OTU_457	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33	20	12	21	31	11	30	14	25	19	29	19	18	24	21	25	25	17	18	13	14	21	19	13	15	13	23	22
OTU_233	1	0	0	0	2	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU_98	4	3	4	4	5	4	4	4	5	2	2	4	5	5	3	4	4	4	8	6	4	4	1	3	4	5	6
