KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	0.0693901934654	0.0291944165678	0.0513285401688	0.0548862661821	0.0613370089593	0.0431255633363	0.0674761870137	0.0380896380504	0.0572796248657	0.0245018450185	0.037399484145	0.0526857315782	0.0468891801956	0.0426012234197	0.0590126599236	0.0680299385191	0.0535027252324	0.0659090909091	0.0628637951106	0.0605245949284	0.0739406779661	0.0353702372394	0.0848126232742	0.0811583839828	0.0629575402635
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	0.00183815082027	0.000182465103549	0.00156298843389	0.00163351982685	0.00206753962784	0.00187200998405	0.00094524830946	0.000914673984059	0.00113973102348	0.00129889298893	0.000531027158246	0.00205779996974	0.00231924977312	0.00364113020682	0.00234443030344	0.00133654103181	0.0027252324463	0.0020202020202	0.0034924330617	0.0014531715469	0.00233050847458	0.000718907260963	0.00230111768573	0.00178762960315	0.00146412884334
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	0.0293644593539	0.0132287200073	0.0256330103157	0.0225017356148	0.0358373535493	0.0175414268876	0.0255944157638	0.0257415392656	0.0322055423491	0.0146125461255	0.0178273403125	0.0241488878802	0.0300494101039	0.0198077483251	0.0249514368009	0.0262630312751	0.0359089451747	0.0277777777778	0.0381257275902	0.0298626752888	0.0275423728814	0.0189072609633	0.0368178829717	0.0407579549517	0.0344070278184
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae	0.00445751573917	0.00118602317307	0.00243826195686	0.00490055948054	0.00241212956582	0.000554669624905	0.00698029520832	0.000522670848033	0.00175844215051	0.00156457564576	0.00356546806251	0.00375245876835	0.00100836946657	0.00218467812409	0.00388505593141	0.00253942796044	0.00436838730362	0.00227272727273	0.00320139697322	0.00247039162973	0.00444915254237	0.000359453630482	0.00262984878369	0.00464783696818	0.00268423621279
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	0.000367630164055	0.000273697655323	0.000875273522976	0.000612569935068	0.0	0.000832004437357	0.0003635570421	0.000653338560042	0.000390764922335	8.85608856089e-05	7.58610226066e-05	0.00036314117113	0.000504184733286	0.000364113020682	0.00043539419921	0.000334135257952	0.000440846425136	0.000252525252525	0.00058207217695	0.00043595146407	0.000423728813559	0.000215672178289	0.000328731097962	0.000357525920629	0.00024402147389
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	0.0144754377097	0.00556518565824	0.0125664270084	0.0175603381386	0.0158511371468	0.00977605213894	0.0119246709809	0.00882007056056	0.0141977921782	0.00560885608856	0.0214686693977	0.0361022847632	0.00786528183927	0.0088115351005	0.0177171947217	0.0185110932906	0.0224430907342	0.0224747474747	0.00989522700815	0.0180919857589	0.0150423728814	0.0199137311287	0.0167652859961	0.0243117626028	0.0153733528551
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	0.102706677083	0.0572940425144	0.134604563926	0.072895822273	0.13094417643	0.0643416764889	0.0476986839235	0.077420619365	0.0805301377446	0.081741697417	0.0509786071916	0.0696928430928	0.0763335686195	0.152272065249	0.0856386897984	0.0809275594761	0.151450785508	0.089898989899	0.101571594878	0.0791251907288	0.098093220339	0.0616822429907	0.0890861275477	0.0965319985699	0.0876037091264
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae	0.00151647442673	0.000456162758872	0.000875273522976	0.00142932984849	0.00103376981392	0.000693337031131	0.0025448992947	0.000522670848033	0.00107460353642	8.85608856089e-05	0.00045516613564	0.000423664699652	0.00191590198649	0.000582580833091	0.00200951168866	0.00173750334135	0.00116223148445	0.00126262626263	0.0011641443539	0.00108987866018	0.000635593220339	0.00100647016535	0.00197238658777	0.00107257776189	0.000976085895559
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae	0.0231607003355	0.0115865340754	0.0166927164739	0.0218074896884	0.0196416264645	0.0130347361853	0.0141787246419	0.0180974781132	0.0165098179687	0.00820664206642	0.0154756486117	0.0149795733091	0.0172431178784	0.0142004078066	0.0187554424275	0.0193130179096	0.0148685476114	0.0186868686869	0.0264842840512	0.0207803531207	0.0224576271186	0.0156002875629	0.0239973701512	0.0246692885234	0.0178135675939
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__	0.00284913377143	0.00145972082839	0.00800250078149	0.00289949769265	0.00172294968987	0.00457602440546	0.0054533556315	0.00594538089638	0.00446123286333	0.00330627306273	0.00265513579123	0.00269329701922	0.00433598870626	0.00342266239441	0.00304775939447	0.00180433039294	0.00336646361013	0.00378787878788	0.0034924330617	0.00559471045557	0.00233050847458	0.00230050323508	0.00657462195924	0.00321773328566	0.00439238653001
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae	0.000137861311521	9.12325517745e-05	0.000187558612066	0.000204189978356	0.0	0.0	0.0003635570421	0.000718672416046	0.00016281871764	0.000118081180812	7.58610226066e-05	0.000151308821304	0.000201673893315	0.000291290416545	0.000234443030344	6.68270515905e-05	0.000160307790959	0.0	0.000291036088475	0.00029063430938	0.0	0.0	0.0	0.000357525920629	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__	0.000413583934562	0.0	0.000187558612066	0.000367541961041	0.000344589937974	0.000208001109339	0.00029084563368	0.000457336992029	0.000293073691752	0.000354243542435	0.000606888180853	0.000242094114087	0.000100836946657	0.000436935624818	0.000301426753299	0.000200481154771	0.000240461686438	0.000252525252525	0.0	0.000217975732035	0.00021186440678	0.000215672178289	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	0.00500896098525	0.00182465103549	0.0057517974367	0.00416547555846	0.00413507925569	0.00367468626499	0.0069075837999	0.00548804390435	0.00511250773389	0.00236162361624	0.0034896070399	0.00338931759722	0.00363013007966	0.003204194582	0.0034496617322	0.00273990911521	0.00388746393075	0.00378787878788	0.0034924330617	0.0037055874446	0.0021186440678	0.00273184759166	0.00460223537147	0.00357525920629	0.0024402147389
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	0.00280318000092	0.00127725572484	0.00306345733042	0.00326703965369	0.00275671950379	0.00221867849962	0.00370828182942	0.00431203449628	0.00371226676219	0.00147601476015	0.0022758306782	0.00199727644122	0.00221841282646	0.00182056510341	0.00257887333378	0.00180433039294	0.002925617185	0.00227272727273	0.000873108265425	0.00334229455787	0.00275423728814	0.00172537742631	0.00262984878369	0.00214515552378	0.00268423621279
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae	0.00726069574009	0.00200711613904	0.00568927789934	0.00555396741128	0.00206753962784	0.00513069403037	0.00814367774304	0.00666405331243	0.00576378260445	0.00259778597786	0.00470338340161	0.00499319110304	0.0042351517596	0.00364113020682	0.00455489316096	0.00414327719861	0.00537031099711	0.00252525252525	0.00291036088475	0.00632129622902	0.00381355932203	0.00301941049605	0.00657462195924	0.00715051841258	0.00390434358224
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae]	0.000367630164055	0.000638627862421	0.000312597686777	0.000163351982685	0.000689179875948	0.000554669624905	0.00029084563368	0.000326669280021	0.000130254974112	0.000177121771218	7.58610226066e-05	0.000332879406869	0.000605021679944	0.000364113020682	0.000468886060687	0.000200481154771	0.000320615581917	0.000505050505051	0.000291036088475	0.000508610041415	0.000635593220339	0.00107836089145	0.000328731097962	0.0	0.000732064421669
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	0.0184734157438	0.0212571845635	0.0183182244451	0.0140891085066	0.00689179875948	0.0160854191222	0.0182505635134	0.0177708088331	0.0100296330066	0.0387306273063	0.0197238658777	0.0195793614768	0.0169406070384	0.0188610544713	0.011286757318	0.0111601176156	0.0156700865662	0.0113636363636	0.00844004656577	0.0189638886871	0.00720338983051	0.0213515456506	0.00591715976331	0.00786557025384	0.0129331381162
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae	0.000367630164055	0.000547395310647	0.000187558612066	0.000204189978356	0.0	0.000208001109339	0.00043626845052	6.53338560042e-05	0.00016281871764	0.000915129151292	0.000379305113033	0.000453926463913	0.000605021679944	0.000291290416545	0.000133967445911	0.000200481154771	0.000320615581917	0.0	0.000291036088475	0.000508610041415	0.000423728813559	0.000718907260963	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.000183815082027	0.000364930207098	0.000312597686777	0.00392044758443	0.0	0.000346668515565	0.00029084563368	0.000653338560042	0.000260509948224	0.000383763837638	0.000910332271279	0.000726282342261	0.000302510839972	0.000509758228954	0.00056936164512	0.000200481154771	0.000160307790959	0.0	0.0	0.000799244350796	0.000423728813559	0.000287562904385	0.0	0.00107257776189	0.000488042947779
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__	0.000321676393548	0.00319313931211	0.000875273522976	0.000490055948054	0.0	0.000277334812452	0.00021813422526	0.00104534169607	0.000195382461168	0.000856088560886	0.000986193293886	0.000453926463913	0.000705858626601	0.000509758228954	0.000133967445911	0.000334135257952	0.000120230843219	0.0	0.0	0.00101722008283	0.0	0.00273184759166	0.000328731097962	0.000715051841258	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0.0374523229631	0.126722014415	0.0589559237262	0.0227467635888	0.0289455547898	0.0789710878458	0.032720133789	0.0408989938586	0.0165749454557	0.115306273063	0.0392960097102	0.0259040702073	0.031763638197	0.0665598601806	0.0341616987072	0.0558674151296	0.0484129528695	0.0507575757576	0.0261932479627	0.0437404635617	0.0209745762712	0.120560747664	0.0328731097962	0.0218090811584	0.0461200585652
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae	0.000229768852534	9.12325517745e-05	0.000187558612066	0.000122513987014	0.0	0.000277334812452	0.00029084563368	0.000261335424017	9.76912305839e-05	2.9520295203e-05	7.58610226066e-05	0.000181570585565	0.000100836946657	0.0	0.000100475584433	0.000133654103181	0.000200384738698	0.0	0.0	0.0	0.0	0.000143781452193	0.0	0.0	0.00024402147389
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	0.0828546482239	0.217954566189	0.0963426070647	0.0949483399355	0.0441075120606	0.283574845733	0.232167527085	0.158238599242	0.128073203295	0.326140221402	0.176756182673	0.0750491753669	0.148028637693	0.0997669676668	0.116250251189	0.220261962042	0.0840814363578	0.0474747474747	0.0389988358556	0.133619123738	0.0432203389831	0.198993529835	0.043392504931	0.0439756882374	0.0510004880429
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10;f__	0.00110289049216	0.000729860414196	0.000437636761488	0.000530893943725	0.000344589937974	0.000485335921792	0.00029084563368	0.000392003136025	0.00032563743528	0.000206642066421	0.000834471248672	0.000877591163565	0.000806695573258	0.00167491989514	0.000401902337732	0.000668270515905	0.000641231163835	0.000505050505051	0.000291036088475	0.000653927196106	0.000423728813559	0.00100647016535	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.010063875741	0.00100355806952	0.0148171303532	0.00980111896108	0.00344589937974	0.00658670179574	0.0210135970334	0.0193388213772	0.00530789019506	0.00575645756458	0.00705507510241	0.00532607050991	0.00726026015932	0.0204631517623	0.00833947350794	0.00661587810746	0.00565084963129	0.00580808080808	0.00523864959255	0.00653927196106	0.00423728813559	0.00143781452193	0.00657462195924	0.00286020736503	0.00390434358224
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	0.00390607049308	0.00155095338017	0.00750234448265	0.00588067137665	0.000689179875948	0.00180267628094	0.00378099323784	0.00254802038416	0.00260509948224	0.00327675276753	0.00136549840692	0.00390376758965	0.00786528183927	0.00233032333236	0.00398553151584	0.00113605987704	0.00220423212568	0.0020202020202	0.00261932479627	0.00334229455787	0.00148305084746	0.00337886412653	0.00262984878369	0.00286020736503	0.00219619326501
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.000229768852534	0.0	0.000187558612066	8.16759913423e-05	0.0	6.93337031131e-05	7.271140842e-05	0.000130667712008	9.76912305839e-05	0.000590405904059	0.0	6.05235285217e-05	0.0	0.000364113020682	0.000133967445911	0.0	0.000200384738698	0.0	0.0	0.0	0.0	0.000143781452193	0.0	0.0	0.00024402147389
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae	0.000229768852534	0.0	0.000250078149422	0.000122513987014	0.000344589937974	0.000346668515565	0.0	0.000261335424017	9.76912305839e-05	8.85608856089e-05	0.0	0.000121047057043	0.000100836946657	7.28226041363e-05	3.34918614777e-05	6.68270515905e-05	0.000240461686438	0.0	0.0	0.00014531715469	0.000423728813559	0.0	0.000328731097962	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae]	0.000183815082027	9.12325517745e-05	0.000125039074711	0.000245027974027	0.0	0.000138667406226	0.00050897985894	0.0	0.000227946204696	2.9520295203e-05	0.000151722045213	0.000211832349826	0.000201673893315	0.0	6.69837229553e-05	0.000133654103181	8.01538954793e-05	0.000252525252525	0.000291036088475	0.00014531715469	0.000423728813559	0.0	0.000328731097962	0.00107257776189	0.000732064421669
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	4.59537705069e-05	0.0	0.000312597686777	0.0	0.0	6.93337031131e-05	0.00014542281684	0.000326669280021	0.00016281871764	0.0	7.58610226066e-05	9.07852927826e-05	0.0	0.0	0.000870788398419	0.0	0.0	0.000505050505051	0.000291036088475	0.0	0.0	0.0	0.0	0.000357525920629	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0	0.0	0.000125039074711	0.0	0.0	0.0	7.271140842e-05	0.0	3.2563743528e-05	0.0	0.0	3.02617642609e-05	0.000100836946657	0.0	0.00130618259763	0.0	4.00769477397e-05	0.0	0.0	7.26585773451e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	0.0	0.0	0.000125039074711	4.08379956712e-05	0.000344589937974	6.93337031131e-05	0.0	0.000130667712008	0.00016281871764	2.9520295203e-05	0.0	6.05235285217e-05	0.0	0.0	0.00174157679684	0.0	0.0	0.0	0.0	0.00014531715469	0.00021186440678	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5;o__;f__	0.00156242819723	0.00437916248517	0.00150046889653	0.0018377098052	0.0013783597519	0.00117867295292	0.00167236239366	0.00202534953613	0.00293073691752	0.00245018450185	0.000606888180853	0.00220910879104	0.00151255419986	0.00429653364404	0.00157411748945	0.00133654103181	0.00140269317089	0.000505050505051	0.000291036088475	0.00297900167115	0.0010593220339	0.00136592379583	0.000986193293886	0.000715051841258	0.000732064421669
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__	0.00220578098433	0.000638627862421	0.00156298843389	0.00245027974027	0.00172294968987	0.00256534701518	0.0014542281684	0.00202534953613	0.00234458953401	0.00112177121771	0.00106205431649	0.00169465879861	0.00191590198649	0.00101951645791	0.00204300355014	0.00160384923817	0.00180346264828	0.00126262626263	0.000873108265425	0.00174380585628	0.00127118644068	0.00129403306973	0.00295857988166	0.000715051841258	0.00219619326501
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__	0.000551445246082	0.0	0.000437636761488	0.000449217952383	0.000344589937974	0.000416002218678	0.00021813422526	0.000326669280021	0.000358201178808	0.000236162361624	0.000379305113033	0.000302617642609	0.000302510839972	0.000582580833091	0.000368410476254	0.000334135257952	0.000601154216095	0.000252525252525	0.0	0.00029063430938	0.000635593220339	0.000215672178289	0.0	0.000357525920629	0.00024402147389
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Ellin5301	0.000275722623041	0.0	0.0	0.000285865969698	0.0	0.000208001109339	0.0	0.000326669280021	0.000195382461168	5.90405904059e-05	0.0	9.07852927826e-05	0.000100836946657	0.000218467812409	0.000133967445911	6.68270515905e-05	0.000160307790959	0.0	0.0	0.00014531715469	0.0	7.18907260963e-05	0.0	0.0	0.00024402147389
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae	0.00124075180369	0.000456162758872	0.0016880275086	0.00114346387879	0.00103376981392	0.000970671843583	0.00116338253472	0.00222135110414	0.000781529844671	0.000354243542435	0.000758610226066	0.000786805870782	0.00151255419986	0.000873871249636	0.000602853506598	0.00106923282545	0.00128246232767	0.000252525252525	0.000873108265425	0.00108987866018	0.000635593220339	0.000359453630482	0.000986193293886	0.000357525920629	0.000732064421669
k__Bacteria;p__OD1;c__Mb-NB09;o__;f__	9.19075410137e-05	0.0	0.000187558612066	0.000122513987014	0.000344589937974	0.000346668515565	0.00058169126736	0.0	0.000195382461168	0.000324723247232	7.58610226066e-05	0.000181570585565	0.000201673893315	0.000218467812409	0.000133967445911	0.000200481154771	4.00769477397e-05	0.0	0.0	7.26585773451e-05	0.0	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__;o__;f__	0.000827167869124	0.000456162758872	0.00131291028446	0.000980111896108	0.000689179875948	0.000416002218678	0.0007271140842	0.000196001568013	0.00032563743528	0.000590405904059	0.000303444090426	0.000605235285217	0.00110920641323	0.000655403437227	0.000937772121375	0.000534616412724	0.000841615902533	0.000757575757576	0.000873108265425	0.000653927196106	0.000423728813559	0.000575125808771	0.000328731097962	0.000715051841258	0.000488042947779
k__Bacteria;p__Planctomycetes;c__C6;o__d113;f__	0.00105693672166	0.000456162758872	0.00106283213504	0.000775921917752	0.000344589937974	0.0015946751716	0.00116338253472	0.00111067555207	0.000944348562311	0.00177121771218	0.00136549840692	0.000877591163565	0.0014117172532	0.00109233906204	0.000904280259897	0.000735097567495	0.000961846745752	0.00151515151515	0.00174621653085	0.00123519581487	0.00148305084746	0.00143781452193	0.00131492439185	0.000715051841258	0.00122010736945
k__Bacteria;p__Planctomycetes;c__OM190;o__CL500-15;f__	0.000643352787096	0.000456162758872	0.000437636761488	0.000326703965369	0.0	0.000346668515565	0.00043626845052	0.000588004704038	0.00016281871764	0.000265682656827	0.000379305113033	0.000393402935391	0.000705858626601	0.000436935624818	0.000803804675464	0.000267308206362	0.000160307790959	0.000505050505051	0.000291036088475	0.00029063430938	0.0	0.000431344356578	0.000328731097962	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__	0.00151647442673	0.000456162758872	0.00181306658331	0.00114346387879	0.000689179875948	0.00090133814047	0.00101795971788	0.00176401411211	0.000586147383503	0.000590405904059	0.000834471248672	0.00229989408383	0.00262176061309	0.00182056510341	0.00110523142876	0.000334135257952	0.00128246232767	0.000505050505051	0.0011641443539	0.00210709874301	0.00127118644068	0.00215672178289	0.00197238658777	0.0	0.00146412884334
k__Bacteria;p__Planctomycetes;c__Pla4;o__;f__	9.19075410137e-05	0.0	0.000125039074711	0.000122513987014	0.000344589937974	6.93337031131e-05	0.00029084563368	0.000196001568013	3.2563743528e-05	5.90405904059e-05	0.000151722045213	0.000121047057043	0.000100836946657	0.000218467812409	0.000100475584433	0.0	0.000200384738698	0.0	0.000291036088475	0.00014531715469	0.0	0.000287562904385	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae	0.000367630164055	0.000638627862421	0.000312597686777	0.000122513987014	0.000344589937974	0.000416002218678	0.0014542281684	0.000196001568013	0.000358201178808	0.000118081180812	0.00022758306782	0.000181570585565	0.000504184733286	0.000218467812409	0.000267934891821	6.68270515905e-05	0.000400769477397	0.000252525252525	0.000291036088475	0.00029063430938	0.0	0.000215672178289	0.0	0.000357525920629	0.0
